gamma,self_value,edge_value,diagonal_value,edge_excess,diagonal_excess,analytic_regime,numerical_policy_00_10_01_11,analytic_numerical_max_error
0.182,1.107269155206287,1.1787819253438114,1.1787819253438114,0.07151277013752444,0.07151277013752444,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.184,1.1086614173228346,1.1811023622047243,1.1811023622047243,0.07244094488188968,0.07244094488188968,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.186,1.1100591715976331,1.1834319526627217,1.1834319526627217,0.0733727810650886,0.0733727810650886,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.188,1.1114624505928852,1.185770750988142,1.185770750988142,0.07430830039525693,0.07430830039525693,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.19,1.112871287128713,1.188118811881188,1.188118811881188,0.07524752475247509,0.07524752475247509,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.192,1.114285714285714,1.1904761904761905,1.1904761904761905,0.07619047619047636,0.07619047619047636,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.194,1.1157057654075546,1.1928429423459244,1.1928429423459244,0.07713717693836974,0.07713717693836974,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.196,1.1171314741035856,1.1952191235059761,1.1952191235059761,0.07808764940239055,0.07808764940239055,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.3322676295501878e-15
0.198,1.118562874251497,1.1976047904191618,1.1976047904191618,0.07904191616766476,0.07904191616766476,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.7763568394002505e-15
0.2,1.1199999999999999,1.2,1.2,0.08000000000000007,0.08000000000000007,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.9984014443252818e-15
0.202,1.121442885771543,1.2024048096192383,1.2024048096192383,0.0809619238476953,0.0809619238476953,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.20400000000000001,1.12289156626506,1.2048192771084336,1.2048192771084336,0.08192771084337358,0.08192771084337358,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.20600000000000002,1.1243460764587525,1.2072434607645877,1.2072434607645877,0.08289738430583515,0.08289738430583515,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.20800000000000002,1.1258064516129032,1.2096774193548387,1.2096774193548387,0.08387096774193559,0.08387096774193559,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.21,1.1272727272727272,1.2121212121212122,1.2121212121212122,0.08484848484848495,0.08484848484848495,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.212,1.1287449392712552,1.2145748987854252,1.2145748987854252,0.08582995951417005,0.08582995951417005,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.3322676295501878e-15
0.214,1.1302231237322515,1.2170385395537526,1.2170385395537526,0.0868154158215011,0.0868154158215011,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.3322676295501878e-15
0.216,1.1317073170731706,1.2195121951219512,1.2195121951219512,0.08780487804878057,0.08780487804878057,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.5543122344752192e-15
0.218,1.1331975560081466,1.2219959266802443,1.2219959266802443,0.08879837067209762,0.08879837067209762,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.7763568394002505e-15
0.22,1.1346938775510202,1.2244897959183672,1.2244897959183672,0.0897959183673469,0.0897959183673469,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
