alpha,beta,strength,score,goal_separation,action_separation,alias_margin_h8,outcome_axis_gap,signed_probe_gap,information_margin
0.64,2.065,0.48000000000000004,2.4714383693813606,0.6399999999999997,1.2800000000000002,0.056814692820413626,0.6126847276557971,0.5239007418716103,0.5239007418716103
0.64,2.065,0.39,2.4636501537590734,0.6399999999999997,1.2800000000000002,0.056814692820413626,0.49780634122033507,0.5499064346564172,0.49780634122033507
0.64,2.155,0.39,2.460906920356718,0.6399999999999997,1.2800000000000002,0.053185307179585806,0.5279161125913826,0.5499064346564172,0.5279161125913826
0.58,2.065,0.3,2.460515627226915,0.5799999999999992,1.1600000000000001,0.08818530717958595,0.39323802239414146,0.5227815166206106,0.39323802239414146
0.6699999999999999,1.93,0.3,2.4587439535400146,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.3406051523465427,0.5923828765647694,0.3406051523465427
0.8799999999999999,2.425,0.48000000000000004,2.4585805348999017,0.3268146928204132,1.4331853071795866,0.10318530717958652,0.6677756432425767,0.5762067747463326,0.5762067747463326
0.6699999999999999,1.93,0.69,2.4563559558064916,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.7833918503970483,0.44947547429706775,0.44947547429706775
0.7,2.2,0.39,2.4521996616012633,0.4831853071795855,1.4000000000000004,0.06637061435917069,0.5278038887705354,0.5932052172456365,0.5278038887705354
0.7,2.02,0.36,2.4512806010942367,0.6199999999999992,1.32,0.06318530717958737,0.431672592025004,0.6010243750546355,0.431672592025004
0.7,2.155,0.51,2.4509499356422055,0.5731853071795872,1.4000000000000004,0.05500000000000016,0.671352518536677,0.5541395631824675,0.5541395631824675
0.58,2.065,0.5700000000000001,2.450827985088038,0.5799999999999992,1.1600000000000001,0.08818530717958595,0.7471522425488688,0.4502809587900786,0.4502809587900786
0.58,1.93,0.33,2.4498996909010735,0.5800000000000001,1.1600000000000001,0.08681469282041387,0.3920371923125284,0.5173241466170267,0.3920371923125284
0.9099999999999999,2.425,0.36,2.4493266679957104,0.3868146928204137,1.4331853071795866,0.0818146928204122,0.4924057903364157,0.6127809729533752,0.4924057903364157
0.58,1.93,0.5700000000000001,2.4491832478570332,0.5800000000000001,1.1600000000000001,0.08681469282041387,0.6771551503580037,0.4502809587900786,0.4502809587900786
0.64,2.155,0.45,2.4489954874081374,0.6399999999999997,1.2800000000000002,0.053185307179585806,0.6091339760669799,0.5333125820372681,0.5333125820372681
0.7,2.2,0.51,2.448042045183253,0.4831853071795855,1.4000000000000004,0.06637061435917069,0.6902050853153155,0.5541395631824675,0.5541395631824675
0.64,1.975,0.48000000000000004,2.447484424151903,0.6399999999999997,1.2800000000000002,0.05500000000000016,0.5737835940170428,0.5239007418716103,0.5239007418716103
0.58,1.8399999999999999,0.36,2.4448583506847332,0.5800000000000001,1.1600000000000001,0.08318530717958694,0.39687354918870016,0.511280194025145,0.39687354918870016
0.58,1.8399999999999999,0.5700000000000001,2.444827985088041,0.5800000000000001,1.1600000000000001,0.08318530717958694,0.6283831195487753,0.4502809587900786,0.4502809587900786
0.64,2.065,0.51,2.443817860402738,0.6399999999999997,1.2800000000000002,0.056814692820413626,0.6509775231342844,0.5136922310067168,0.5136922310067168
0.7,2.02,0.63,2.441639030631855,0.6199999999999992,1.32,0.06318530717958737,0.755427036043757,0.5002963202527401,0.5002963202527401
0.9099999999999999,2.425,0.5700000000000001,2.440084500027411,0.3868146928204137,1.4331853071795866,0.0818146928204122,0.7796425013659916,0.5396719983567229,0.5396719983567229
0.8799999999999999,2.425,0.39,2.4394753233369184,0.3268146928204132,1.4331853071795866,0.10318530717958652,0.5425677101345935,0.6048088651175844,0.5425677101345935
