run_id,environment,initial_state,backend,seed,phase,goal_id,goal_name,episodes,success_rate,mean_steps_success,mean_reward
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,evaluation,4,Z0_X0,100,0.78,6.846153846153846,8.650599999999999
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,evaluation,5,X0_Z0,100,0.84,4.595238095238095,9.355799999999999
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,evaluation,6,weakZ0_Z0,100,0.85,5.341176470588235,9.4102
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,evaluation,-1,OVERALL,700,0.8714285714285714,4.345901639344262,9.081385714285714
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,training,0,Z0,62,0.7580645161290323,3.574468085106383,7.524838709677421
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,training,1,Z1,65,0.8307692307692308,3.9814814814814814,8.257538461538461
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,training,2,X0,46,0.9565217391304348,4.386363636363637,9.526304347826088
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,training,3,X1,63,0.7777777777777778,6.3061224489795915,7.703174603174604
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,training,4,Z0_X0,64,0.734375,5.48936170212766,8.17046875
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,training,5,X0_Z0,50,0.8,7.35,8.808
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,training,6,weakZ0_Z0,50,0.62,4.516129032258065,6.808
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,training,-1,OVERALL,400,0.78,5.05448717948718,8.07625
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,evaluation,0,Z0,100,0.5,1.0,4.925000000000001
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,evaluation,1,Z1,100,0.48,1.0,4.722000000000001
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,evaluation,2,X0,100,0.99,4.121212121212121,9.8676
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,evaluation,3,X1,100,0.99,5.101010101010101,9.8579
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,evaluation,4,Z0_X0,100,0.96,6.333333333333333,10.5427
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,evaluation,5,X0_Z0,100,0.97,6.010309278350515,10.6569
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,evaluation,6,weakZ0_Z0,100,0.46,2.3260869565217392,5.5027
qubit-zx-weak__plus__gru__seed0,qubit-zx-weak,plus,gru,0,evaluation,-1,OVERALL,700,0.7642857142857142,4.3158878504672895,8.010685714285714
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,training,0,Z0,55,0.9454545454545454,3.826923076923077,9.419636363636362
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,training,1,Z1,64,0.90625,3.396551724137931,9.02671875
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,training,2,X0,57,0.9824561403508771,1.875,9.813333333333334
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,training,3,X1,54,0.9259259259259259,4.96,9.211481481481481
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,training,4,Z0_X0,62,0.7903225806451613,6.8979591836734695,8.721129032258068
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,training,5,X0_Z0,53,0.9622641509433962,3.843137254901961,10.599622641509436
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,training,6,weakZ0_Z0,55,0.2727272727272727,6.6,2.951818181818181
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,training,-1,OVERALL,400,0.8275,4.175226586102719,8.543524999999999
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,evaluation,0,Z0,100,1.0,2.9,9.981
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,evaluation,1,Z1,100,1.0,3.42,9.975800000000001
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,evaluation,2,X0,100,1.0,1.0,10.0
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,evaluation,3,X1,100,0.99,4.606060606060606,9.862800000000002
qubit-zx-weak__plus__gru__seed1,qubit-zx-weak,plus,gru,1,evaluation,4,Z0_X0,100,0.98,6.244897959183674,10.7556
