goal_id,progress,place,action,q_value
6,0,4,8,1.7768795424505768
6,0,5,0,0.951731359087834
6,0,5,1,0.2824016862891394
6,0,5,2,0.49509892089454355
6,0,5,3,8.848303717874275
6,0,5,4,0.514032534806855
6,0,5,5,0.04860150836782572
6,0,5,6,4.342670550893606
6,0,5,7,0.07591760792986559
6,0,5,8,0.49437641146358285
6,0,6,0,5.948901039159496
6,0,6,1,5.732412757405762
6,0,6,2,7.624852077093169
6,0,6,3,7.944841358853083
6,0,6,4,6.724966548950147
6,0,6,5,7.9262995094795805
6,0,6,6,7.716511010581051
6,0,6,7,7.9802517210791155
6,0,6,8,9.999999999999993
6,0,7,0,2.565016119356736
6,0,7,1,0.20168598144777156
6,0,7,2,3.317330096311273
6,0,7,3,9.489999336866678
6,0,7,4,0.8408636690524872
6,0,7,5,3.1415883768867268
6,0,7,6,0.3323337825603855
6,0,7,7,3.847721369089517
6,0,7,8,3.05416592732856
6,0,8,0,1.559224493096297
6,0,8,1,1.0305044155912435
6,0,8,2,0.57000430293088
6,0,8,3,8.998571830626366
6,0,8,4,0.9976447285214671
6,0,8,5,0.6803207403641841
6,0,8,6,0.002960215815307014
6,0,8,7,1.8980708333529877
6,0,8,8,0.48245068150271075
6,0,,0,0.0
6,0,,1,0.0
6,0,,2,0.0
6,0,,3,0.0
6,0,,4,0.0
6,0,,5,0.0
6,0,,6,0.0
6,0,,7,0.0
6,0,,8,0.0
7,0,0,0,0.8415515278895352
7,0,0,1,1.5553571553987986
7,0,0,2,1.793520661647031
7,0,0,3,2.3162698958386776
7,0,0,4,0.928588131143478
7,0,0,5,8.932060545684918
7,0,0,6,0.5595424035618595
7,0,0,7,0.0004313649999999999
7,0,0,8,0.9478109077192359
7,0,1,0,1.6088086076437398
7,0,1,1,1.301840128695563
7,0,1,2,9.004201149052045
7,0,1,3,1.2331648993274675
7,0,1,4,-0.0019000000000000002
7,0,1,5,0.6121485041508313
7,0,1,6,0.8657298329907943
7,0,1,7,1.3349675903745046
7,0,1,8,1.4942387101344552
7,0,2,0,1.32036997267414
7,0,2,1,0.04332060449556819
7,0,2,2,1.2342257825531762
7,0,2,3,0.6397048981413809
7,0,2,4,1.1366536040995738
7,0,2,5,-0.0007023194
7,0,2,6,8.873119078773561
7,0,2,7,-0.0007023194
7,0,2,8,1.4209763406020248
7,0,3,0,1.7784362673624992
7,0,3,1,9.0043859857113
7,0,3,2,1.7972661373968175
7,0,3,3,0.9367697072576964
7,0,3,4,0.0009363651250000004
7,0,3,5,0.9524484622446548
7,0,3,6,1.106921820697592
7,0,3,7,0.20527655483913798
7,0,3,8,1.7370967296918427
7,0,4,0,2.7959131739679246
7,0,4,1,2.485485919528114
7,0,4,2,9.489999999999984
7,0,4,3,3.743067135475844
7,0,4,4,3.1017396288734562
7,0,4,5,6.210595309367968
7,0,4,6,5.44400283257809
7,0,4,7,1.9431929530735705
7,0,4,8,4.600762524944987
7,0,5,0,0.8436213796279146
7,0,5,1,0.9168104753857316
7,0,5,2,2.8476884345871105
7,0,5,3,2.3996784665705806
7,0,5,4,1.2324333002422077
7,0,5,5,2.360769826450211
7,0,5,6,9.241512193072273
7,0,5,7,0.5858017807301106
7,0,5,8,1.780755988579391
7,0,6,0,2.1048039738642403
7,0,6,1,9.48957524844339
7,0,6,2,0.37503662990500003
7,0,6,3,2.8916908236151273
7,0,6,4,3.2257608639414848
7,0,6,5,2.2457846904455945
7,0,6,6,1.2052792314055356
7,0,6,7,1.6685465399388195
7,0,6,8,2.567020258431458
7,0,7,0,6.729363555918639
7,0,7,1,6.049649993773039
7,0,7,2,6.702357509139315
7,0,7,3,7.052337498235986
7,0,7,4,6.267599205448517
7,0,7,5,6.565057838915961
7,0,7,6,8.310024158668169
7,0,7,7,5.818862941320564
7,0,7,8,9.999999999999993
7,0,8,0,0.7737089284527996
7,0,8,1,3.5691772696447073
7,0,8,2,3.0754556860702382
7,0,8,3,9.48965590722198
7,0,8,4,2.5008229414834764
7,0,8,5,0.8680146143676792
7,0,8,6,2.38771504454494
7,0,8,7,0.8628586298855391
7,0,8,8,2.5887960605629714
7,0,,0,0.0
7,0,,1,0.0
7,0,,2,0.0
7,0,,3,0.0
7,0,,4,0.0
7,0,,5,0.0
7,0,,6,0.0
7,0,,7,0.0
7,0,,8,0.0
8,0,0,0,0.40469862153702907
8,0,0,1,1.8735136754731432
8,0,0,2,2.034809114622503
8,0,0,3,1.4819577377982374
8,0,0,4,1.4994663561583312
8,0,0,5,8.690513587590782
8,0,0,6,0.35704223375957167
8,0,0,7,0.6446731624554672
8,0,0,8,1.2988709231874456
8,0,1,0,0.029458416366734415
8,0,1,1,0.6814735336387366
8,0,1,2,8.866212147405845
8,0,1,3,0.6140383384112561
8,0,1,4,0.0866551968364378
8,0,1,5,1.6227002724440576
8,0,1,6,0.5219957316625523
8,0,1,7,0.2253958092960484
8,0,1,8,2.9718431946520782
8,0,2,0,1.764586635843525
8,0,2,1,0.017105932746844944
8,0,2,2,3.378152900692803
8,0,2,3,0.9352748720285069
8,0,2,4,1.762938182205691
8,0,2,5,0.017386917333512504
8,0,2,6,8.66698785129099
8,0,2,7,2.0738266954007187
8,0,2,8,0.7254966626349134
8,0,3,0,1.1920949360853506
8,0,3,1,8.869554704791675
