diagonal_success,objective,stress_1d,stress_2d,stress_3d,positive_variance_2d,negative_spectrum_fraction,coordinate_procrustes_r2,euclidean_distance_correlation
0.875,0.09579962311419063,0.4269793245599442,0.08468396979812738,0.06345663461162855,0.8188382866322671,0.11059628801084734,0.9997759019400859,0.9662194590643893
0.88,0.09786069542299465,0.4270323775654123,0.08665141934756675,0.0645761082024317,0.8156907030984446,0.11151476322948656,0.999768800990083,0.9646181217819547
0.885,0.09991794642860288,0.4270933201043857,0.08861541784392353,0.0656975169739418,0.8125724446214235,0.1124293037818235,0.999761607174012,0.9629826048188628
0.89,0.10197065625368007,0.42716199155388224,0.09057525987986798,0.06682032108976248,0.8094834340254274,0.1133397667685532,0.9997543212121729,0.9613137031530467
0.895,0.10401818203709783,0.4272382335934144,0.09253031579934246,0.06794402337471922,0.8064235798653802,0.11424602193042514,0.9997469438211486,0.9596122122376783
0.8999999999999999,0.10605994945033174,0.4192384166449872,0.09448002329230418,0.06906816583269926,0.8033927774688804,0.11514795084968231,0.9997394757077627,0.9578789273602764
0.905,0.10809544525401694,0.42741280760650324,0.09642388002830772,0.07019232645955366,0.8003909099228742,0.11604544619179616,0.9997319175738816,0.9561146430202434
0.9099999999999999,0.11012421075969635,0.4275108343485438,0.0983614371894123,0.07131611632765288,0.7974178490062589,0.11693841098693843,0.9997242701136392,0.9543201523253259
0.915,0.11214583607331077,0.4276158211913669,0.10029229378259973,0.07243917691987274,0.7944734560699558,0.11782675795035767,0.9997165340172989,0.9524962464073922
0.9199999999999999,0.11415995502188502,0.4277276211453698,0.10221609162877882,0.07356117769210858,0.7915575828662096,0.11871040884060198,0.999708709963816,0.9506437138578812
0.925,0.11616624066752589,0.42784608944513297,0.10413251093991832,0.07468181384480634,0.7886700723290216,0.11958929385434597,0.9997007986313081,0.9487633401832192
0.9299999999999999,0.11816440134207365,0.4279710835337321,0.10604126640821439,0.0758008042854062,0.7858107593077512,0.12046335105647947,0.9996928006871547,0.9468559072804195
0.935,0.12015417712752341,0.42810246304640337,0.10794210374178095,0.07691788976498176,0.7829794712559593,0.12133252584401345,0.9996847167946356,0.9449221929330583
0.94,0.12213533673200645,0.4282400897936054,0.10983479659037627,0.07803283117369479,0.7801760288776228,0.12219677044231347,0.9996765476104047,0.9429629703277231
0.9450000000000001,0.1241076747093803,0.42838382774351397,0.11171914381241972,0.07914540798096768,0.7774002467328305,0.12305604343214666,0.9996682937850163,0.9409790075910216
0.95,0.12607100898100296,0.4285335430039844,0.11359496704114994,0.08025541680747232,0.7746519338050623,0.1239103093060177,0.999659955962995,0.938971067347153
