theta,min_trace_separation,commutator_defect,mean_translation_defect,max_translation_defect,pearson_euclidean,spearman_manhattan,mds_2d_stress,positive_gram_planarity,separation_adjusted_score
0.30966480446927375,0.1255719078003735,0.010249296963367684,0.009423724243360207,0.049082585244914254,0.9897490825900807,0.9548010287986628,0.00736056408000585,0.9924942034928407,4.542475081328049
0.3179888268156425,0.12737140796092805,0.01108368163865827,0.010168131997101308,0.05289706870790913,0.9885885687594645,0.9548010287986628,0.007740219307094838,0.9921081132501779,4.539182495387373
0.3263128491620112,0.12905213232372476,0.011960948970624538,0.010947791677442706,0.0568837153756382,0.9873322234286097,0.9548010287986628,0.008127983809455256,0.9917137151712524,4.529913327899273
0.3346368715083799,0.13061182096838414,0.012882016351259417,0.011763111510773359,0.06104378655473406,0.9859750805989937,0.9306010027231206,0.008523753021612285,0.991311084686995,4.514833675950988
0.3429608938547486,0.13204827654510284,0.013847785768858093,0.012614547397536499,0.06537832825660221,0.9845121061767302,0.9306010027231206,0.008927425258798052,0.9909002906637361,4.494113309268237
0.35128491620111735,0.1333593654634441,0.014859143477646731,0.013502432929383053,0.06988817006110486,0.9829382099205164,0.9306010027231206,0.009338902020006612,0.9904813949685931,4.467925073521348
0.35960893854748605,0.13454301905194238,0.015916959672404436,0.014427142507717738,0.07457392426317111,0.9812482584991171,0.9306010027231206,0.009758088287196664,0.9900544520461786,4.436444366445854
0.36793296089385474,0.13559723468790322,0.017022088167478546,0.015388979778689332,0.07943598530361447,0.9794370896753511,0.9306010027231206,0.010184892820366219,0.9896195085077275,4.3998486826210375
0.3762569832402235,0.13652007689693743,0.018175366080690973,0.01638822782813375,0.08447452948552676,0.9774995276240331,0.9306010027231206,0.010619228448402575,0.989176602733473,4.358317222226254
0.3845810055865922,0.13730967842164093,0.019377613522025588,0.017425107373825795,0.08968951497703385,0.9754303993806621,0.9306010027231206,0.011061012355568256,0.9887257644892354,4.312030558709108
0.3929050279329609,0.13796424125904377,0.020629633287505764,0.01849984631896118,0.09508068210110265,0.973224552405743,0.9306010027231206,0.011510166363680427,0.98826701455802,4.261170359991964
0.40122905027932965,0.13848203766618467,0.02193221055792948,0.019612611151584445,0.10064755391230233,0.9708768732366169,0.9306010027231206,0.011966617209935254,0.9878003643875346,4.205919157657817
0.40955307262569834,0.1388614111334772,0.023286112602730627,0.02076354046824054,0.1063894370605535,0.9683823071845439,0.9306010027231206,0.01243029682055229,0.9873258157543721,4.1464601584256515
0.41787709497206704,0.13910077732533546,0.024692088489271933,0.02195273819353349,0.11230542294119382,0.9657358790197479,0.9306010027231206,0.012901142580410327,0.9868433604456535,4.08297709218759
0.4262011173184358,0.13919862498765503,0.026150868797241853,0.023180273557789913,0.11839438913049298,0.9629327145711687,0.9306010027231206,0.013379097598898507,0.9863529799588909,4.015654090911073
0.4345251396648045,0.13915351682167598,0.027663165338630783,0.02444619031640023,0.12465500110527425,0.9599680631511418,0.9306010027231206,0.013864110972322319,0.9858546452207813,3.944675592787703
0.4428491620111732,0.13896409032387297,0.029229670883029815,0.025750460763864197,0.13108571424508125,0.9568373206982016,0.9306010027231206,0.014356138043245781,0.9853483163256351,3.870226266159093
0.45117318435754195,0.1386290585914406,0.03085105888870603,0.027093089360366553,0.1376847761148557,0.9535360535139973,0.9306010027231206,0.01485514065724201,0.9848339422941081,3.7924909479364763
0.45949720670391064,0.13814721109297856,0.032527983239073535,0.02847397114790313,0.14445022902570684,0.9500600224532078,0.9306010027231206,0.01536108741754387,0.9843114608529209,3.711654591474086
0.46782122905027934,0.13751741440405682,0.03426107798513117,0.029893018187456228,0.15137991287116265,0.9464052074086629,0.9245509962042351,0.01587395393824224,0.9837807982361604,3.6279022191260415
0.4761452513966481,0.1367386129072522,0.03605095709353776,0.03135009208724215,0.15847146823570368,0.9425678319179372,0.9245509962042351,0.016393723096652667,0.9832418690088311,3.5414188750397204
