memory,sharpness,immediate_mi_bits,score,bellman_iterations,symmetry_residual,diagonal_residual,minimum_offdiagonal,maximum_triangle_violation,is_metric,torus_correlation,best_scale,relative_rmse_after_scale,edge_mean,edge_spread,diagonal_mean,diagonal_spread,strict_shell_margin,heldout_diagonal_additivity_error
0.8999999999999999,0.5,0.007238716160036145,0.3959615714286705,0,0.0,0.0,1.1277312240582664,0.0,True,0.9999999999999998,1.088260631216227,0.019000809975260644,1.1277312240582664,0.0,2.1567859660114346,0.0,1.0290547419531682,0.04575163398692809
0.85,0.8,0.025396506886342957,0.393999777372446,0,0.0,0.0,1.181474480151229,0.0,True,1.0,1.1247637051039696,0.02635231383473654,1.1814744801512291,0.0,2.2211720226843097,0.0,1.0396975425330812,0.06382978723404287
0.8999999999999999,0.45000000000000007,0.005965710778220247,0.3926258068141963,0,0.0,0.0,1.1297298611922888,0.0,True,1.0,1.0896244511199626,0.01928052502120697,1.1297298611922888,0.0,2.159196197203762,0.0,1.029466336011473,0.04643557880967957
0.8999999999999999,0.4,0.004799690655495302,0.3895032729242061,0,0.0,0.0,1.1317338162064283,0.0,True,1.0,1.0909913988229971,0.019560480372175483,1.1317338162064283,0.0,2.1616115889542784,0.0,1.02987777274785,0.04712041884816739
0.7499999999999999,1.0,0.06290729184695593,0.38917041606268665,0,0.0,0.0,1.306122448979592,0.0,True,1.0,1.2081632653061225,0.042163702135578435,1.3061224489795922,0.0,2.36734693877551,0.0,1.0612244897959182,0.1034482758620693
0.85,0.75,0.022627973418925064,0.3872483065213587,0,0.0,0.0,1.1846915637003101,0.0,True,0.9999999999999998,1.12693784996992,0.026781504613803853,1.18469156370031,0.0,2.224998843074645,0.0,1.0403072793743349,0.0648918469217968
0.8999999999999999,0.35,0.003745036177371878,0.3866027292664336,0,0.0,0.0,1.1337431079835198,0.0,True,1.0,1.0923614845421212,0.019840676337970976,1.1337431079835198,0.0,2.1640321573635433,0.0,1.0302890493800234,0.0478061558611658
0.7999999999999999,0.9,0.04176129004830342,0.38626877359070233,0,0.0,0.0,1.2437639059714487,0.0,True,1.0,1.166650543801219,0.03445715552380313,1.2437639059714487,0.0,2.2947444065173226,0.0,1.0509805005458739,0.08401084010840121
0.8999999999999999,0.30000000000000004,0.0028066894629776985,0.38393405881205606,0,0.0,0.0,1.1357577554902847,0.0,True,0.9999999999999996,1.0937347185371442,0.020121113228930416,1.1357577554902847,0.0,2.1664579185977173,0.0,1.030700163107433,0.048492791612057815
0.8999999999999999,0.25,0.0019902579793961003,0.3815084752243502,0,0.0,0.0,1.137777777777778,0.0,True,1.0,1.0951111111111114,0.020401791355925077,1.137777777777778,0.0,2.1688888888888886,0.0,1.031111111111111,0.049180327868852576
0.85,0.7000000000000001,0.019992638925171773,0.380761490760137,0,0.0,0.0,1.1879218050471827,0.0,True,1.0,1.1291196756973472,0.02721125496363926,1.1879218050471827,0.0,2.2288382867197765,0.0,1.0409164816725938,0.06595602931379084
0.8999999999999999,0.2,0.0013021459896184683,0.3793387857545811,0,0.0,0.0,1.1398031939818392,0.0,True,0.9999999999999993,1.0964906726105292,0.020682711030361182,1.1398031939818394,0.0,2.1713250845354035,0.0,1.0315218905535644,0.04986876640419972
0.8999999999999999,0.15000000000000002,0.0007497238105325031,0.3774397297579597,0,0.0,0.0,1.141834023323546,0.0,True,0.9999999999999998,1.0978734134255894,0.020963872564181262,1.141834023323546,0.0,2.1737665219022007,0.0,1.0319324985786547,0.050558108995403826
0.7999999999999999,0.85,0.03772682044232385,0.37653579945315596,0,0.0,0.0,1.24840048687619,0.0,True,0.9999999999999993,1.16975125620299,0.035043710218224826,1.24840048687619,0.0,2.3001778970693803,0.0,1.0517774101931898,0.08548168249660797
0.7499999999999999,0.9500000000000001,0.057452494194925374,0.3761260386271351,0,0.0,0.0,1.3123643633836672,0.0,True,0.9999999999999996,1.2122965806756627,0.04291411285211811,1.3123643633836675,0.0,2.374559269997323,0.0,1.062194906613656,0.10535405872193442
0.8999999999999999,0.1,0.00034154948894099844,0.3758284220456639,0,0.0,0.0,1.1438702851096687,0.0,True,1.0,1.0992593439903917,0.02124527626986505,1.1438702851096685,0.0,2.176213217421145,0.0,1.0323429323114761,0.05124835742444127
0.85,0.65,0.017493953683532393,0.37454622601802323,0,0.0,0.0,1.1911652760432465,0.0,True,0.9999999999999993,1.1313092209220734,0.027641565979293077,1.1911652760432465,0.0,2.23269041428356,0.0,1.0415251382403137,0.06702234078026008
0.7,1.0,0.07548875021634706,0.3708566887970829,0,0.0,0.0,1.3840830449826989,0.0,True,0.9999999999999993,1.2595155709342558,0.051280178273000715,1.3840830449826989,0.0,2.456747404844291,0.0,1.0726643598615917,0.12676056338028163
0.85,0.6,0.015135733791968376,0.36861013984146057,0,0.0,0.0,1.1944220490310251,0.0,True,1.0,1.1335065245304428,0.028072438758674836,1.1944220490310251,0.0,2.2365552868105945,0.0,1.0421332377795698,0.06809078771695577
0.7999999999999999,0.8,0.033862009181790505,0.36713888035928866,0,0.0,0.0,1.2530630429939853,0.0,True,0.9999999999999998,1.1728670082423702,0.03563129757936201,1.2530630429939853,0.0,2.3056359991089326,0.0,1.0525729561149477,0.08695652173913042
0.7499999999999999,0.9,0.052201612560379626,0.36348413734111107,0,0.0,0.0,1.3186511297818277,0.0,True,0.9999999999999996,1.2164556672237359,0.04366619486201331,1.3186511297818277,0.0,2.381813603168426,0.0,1.0631624733865983,0.10726643598615931
0.85,0.55,0.012922208093641707,0.3629616852453106,0,0.0,0.0,1.1976921968481982,0.0,True,0.9999999999999998,1.135711625661304,0.028503874402562777,1.1976921968481982,0.0,2.240432965729161,0.0,1.0427407688809627,0.06916137654527223
