memory,sharpness,analytic_bellman_max_error,bellman_iterations,is_metric
0.95,0.5,1.4210854715202004e-14,19,True
0.95,0.55,1.3766765505351941e-14,19,True
0.95,0.6,1.1102230246251565e-14,19,True
0.95,0.65,9.769962616701378e-15,19,True
0.95,0.7000000000000001,8.881784197001252e-15,19,True
0.95,0.75,7.105427357601002e-15,19,True
0.95,0.8,5.329070518200751e-15,19,True
0.95,0.85,4.884981308350689e-15,19,True
0.95,0.9,4.440892098500626e-15,19,True
0.95,0.9500000000000001,3.9968028886505635e-15,19,True
0.95,1.0,3.552713678800501e-15,19,True
