memory,sharpness,analytic_bellman_max_error,bellman_iterations,is_metric
0.7,1.0,3.9968028886505635e-14,36,True
0.7499999999999999,0.1,3.4638958368304884e-14,38,True
0.7499999999999999,0.15000000000000002,6.439293542825908e-14,37,True
0.7499999999999999,0.2,4.884981308350689e-14,37,True
0.7499999999999999,0.25,3.730349362740526e-14,37,True
0.7499999999999999,0.30000000000000004,2.7533531010703882e-14,37,True
0.7499999999999999,0.35,5.240252676230739e-14,36,True
0.7499999999999999,0.4,3.9968028886505635e-14,36,True
0.7499999999999999,0.45000000000000007,3.064215547965432e-14,36,True
0.7499999999999999,0.5,5.861977570020827e-14,35,True
0.7499999999999999,0.55,4.39648317751562e-14,35,True
0.7499999999999999,0.6,3.375077994860476e-14,35,True
0.7499999999999999,0.65,2.531308496145357e-14,35,True
0.7499999999999999,0.7000000000000001,4.973799150320701e-14,34,True
0.7499999999999999,0.75,3.730349362740526e-14,34,True
0.7499999999999999,0.8,2.7533531010703882e-14,34,True
0.7499999999999999,0.85,5.551115123125783e-14,33,True
0.7499999999999999,0.9,4.1300296516055823e-14,33,True
0.7499999999999999,0.9500000000000001,3.064215547965432e-14,33,True
0.7499999999999999,1.0,2.2648549702353193e-14,33,True
0.7999999999999999,0.1,4.75175454539567e-14,33,True
0.7999999999999999,0.15000000000000002,3.68594044175552e-14,33,True
0.7999999999999999,0.2,2.930988785010413e-14,33,True
0.7999999999999999,0.25,2.3092638912203256e-14,33,True
0.7999999999999999,0.30000000000000004,5.10702591327572e-14,32,True
0.7999999999999999,0.35,4.04121180963557e-14,32,True
0.7999999999999999,0.4,3.064215547965432e-14,32,True
0.7999999999999999,0.45000000000000007,2.398081733190338e-14,32,True
0.7999999999999999,0.5,1.8207657603852567e-14,32,True
0.7999999999999999,0.55,4.263256414560601e-14,31,True
0.7999999999999999,0.6,3.2862601528904634e-14,31,True
0.7999999999999999,0.65,2.5757174171303632e-14,31,True
0.7999999999999999,0.7000000000000001,1.9539925233402755e-14,31,True
0.7999999999999999,0.75,4.6629367034256575e-14,30,True
0.7999999999999999,0.8,3.597122599785507e-14,30,True
0.7999999999999999,0.85,2.7533531010703882e-14,30,True
0.7999999999999999,0.9,2.1316282072803006e-14,30,True
0.7999999999999999,0.9500000000000001,1.5987211554602254e-14,30,True
0.7999999999999999,1.0,3.863576125695545e-14,29,True
0.85,0.1,2.708944180085382e-14,29,True
0.85,0.15000000000000002,2.1316282072803006e-14,29,True
0.85,0.2,1.687538997430238e-14,29,True
0.85,0.25,1.3766765505351941e-14,29,True
0.85,0.30000000000000004,3.8191672047105385e-14,28,True
0.85,0.35,3.064215547965432e-14,28,True
0.85,0.4,2.398081733190338e-14,28,True
0.85,0.45000000000000007,1.9984014443252818e-14,28,True
0.85,0.5,1.554312234475219e-14,28,True
0.85,0.55,1.2434497875801753e-14,28,True
0.85,0.6,3.4638958368304884e-14,27,True
0.85,0.65,2.886579864025407e-14,27,True
0.85,0.7000000000000001,2.2648549702353193e-14,27,True
0.85,0.75,1.7763568394002505e-14,27,True
0.85,0.8,1.4210854715202004e-14,27,True
0.85,0.85,1.1102230246251565e-14,27,True
0.85,0.9,3.241851231905457e-14,26,True
0.85,0.9500000000000001,2.6201263381153694e-14,26,True
0.85,1.0,2.0872192862952943e-14,26,True
0.8999999999999999,0.1,1.0658141036401503e-14,25,True
0.8999999999999999,0.15000000000000002,9.325873406851315e-15,25,True
0.8999999999999999,0.2,3.197442310920451e-14,24,True
0.8999999999999999,0.25,2.708944180085382e-14,24,True
0.8999999999999999,0.30000000000000004,2.2648549702353193e-14,24,True
0.8999999999999999,0.35,1.9095836023552692e-14,24,True
0.8999999999999999,0.4,1.554312234475219e-14,24,True
0.8999999999999999,0.45000000000000007,1.2878587085651816e-14,24,True
0.8999999999999999,0.5,1.0658141036401503e-14,24,True
0.8999999999999999,0.55,9.325873406851315e-15,24,True
0.8999999999999999,0.6,7.549516567451064e-15,24,True
0.8999999999999999,0.65,2.7533531010703882e-14,23,True
0.8999999999999999,0.7000000000000001,2.220446049250313e-14,23,True
0.8999999999999999,0.75,1.865174681370263e-14,23,True
0.8999999999999999,0.8,1.5987211554602254e-14,23,True
0.8999999999999999,0.85,1.2878587085651816e-14,23,True
0.8999999999999999,0.9,9.769962616701378e-15,23,True
0.8999999999999999,0.9500000000000001,8.43769498715119e-15,23,True
0.8999999999999999,1.0,6.661338147750939e-15,23,True
0.95,0.1,6.661338147750939e-15,20,True
0.95,0.15000000000000002,7.105427357601002e-15,20,True
0.95,0.2,6.217248937900877e-15,20,True
0.95,0.25,4.884981308350689e-15,20,True
0.95,0.30000000000000004,4.884981308350689e-15,20,True
0.95,0.35,3.552713678800501e-15,20,True
0.95,0.4,3.1086244689504383e-15,20,True
0.95,0.45000000000000007,1.7763568394002505e-14,19,True
