target,repertoire,dx,dy,radius,training,truth,prediction,relative_error,absolute_error
fubini-study,D4,9,0,9.000000000000,0,8.737154327761,9.000000000000,0.030083670538,0.262845672239
fubini-study,D4,9,1,9.055385138137,0,8.794345096840,10.000000000000,0.137094336177,1.205654903160
fubini-study,D4,9,2,9.219544457293,0,8.962516011600,11.000000000000,0.227333930089,2.037483988400
fubini-study,D4,9,3,9.486832980505,0,9.231859886772,12.000000000000,0.299846417426,2.768140113228
fubini-study,D4,9,4,9.848857801796,0,9.587086460976,13.000000000000,0.355990691532,3.412913539024
fubini-study,D4,9,5,10.295630140987,0,10.008208053985,14.000000000000,0.398851814879,3.991791946015
fubini-study,D4,9,6,10.816653826392,0,10.470404327166,15.000000000000,0.432609432387,4.529595672834
fubini-study,D4,9,7,11.401754250991,0,10.942241096983,16.000000000000,0.462223310398,5.057758903017
fubini-study,D4,10,-6,11.661903789691,0,11.229468579852,16.000000000000,0.424822544916,4.770531420148
fubini-study,D4,10,-5,11.180339887499,0,10.794689277559,15.000000000000,0.389572188167,4.205310722441
fubini-study,D4,10,-4,10.770329614269,0,10.395593606472,14.000000000000,0.346724442102,3.604406393528
fubini-study,D4,10,-3,10.440306508911,0,10.058670877062,13.000000000000,0.292417274497,2.941329122938
fubini-study,D4,10,-2,10.198039027186,0,9.803626816544,12.000000000000,0.224036800315,2.196373183456
fubini-study,D4,10,-1,10.049875621121,0,9.644708608145,11.000000000000,0.140521756221,1.355291391855
fubini-study,D4,10,0,10.000000000000,0,9.590733947523,10.000000000000,0.042673069102,0.409266052477
fubini-study,D4,10,1,10.049875621121,0,9.644708608145,11.000000000000,0.140521756221,1.355291391855
fubini-study,D4,10,2,10.198039027186,0,9.803626816544,12.000000000000,0.224036800315,2.196373183456
fubini-study,D4,10,3,10.440306508911,0,10.058670877062,13.000000000000,0.292417274497,2.941329122938
fubini-study,D4,10,4,10.770329614269,0,10.395593606472,14.000000000000,0.346724442102,3.604406393528
fubini-study,D4,10,5,11.180339887499,0,10.794689277559,15.000000000000,0.389572188167,4.205310722441
fubini-study,D4,10,6,11.661903789691,0,11.229468579852,16.000000000000,0.424822544916,4.770531420148
fubini-study,D4,11,-4,11.704699910720,0,11.156418929395,15.000000000000,0.344517456267,3.843581070605
fubini-study,D4,11,-3,11.401754250991,0,10.824255570049,14.000000000000,0.293391486315,3.175744429951
fubini-study,D4,11,-2,11.180339887499,0,10.573607543376,13.000000000000,0.229476311341,2.426392456624
fubini-study,D4,11,-1,11.045361017187,0,10.417858432065,12.000000000000,0.151868215358,1.582141567935
fubini-study,D4,11,0,11.000000000000,0,10.365041771052,11.000000000000,0.061259591903,0.634958228948
fubini-study,D4,11,1,11.045361017187,0,10.417858432065,12.000000000000,0.151868215358,1.582141567935
fubini-study,D4,11,2,11.180339887499,0,10.573607543376,13.000000000000,0.229476311341,2.426392456624
fubini-study,D4,11,3,11.401754250991,0,10.824255570049,14.000000000000,0.293391486315,3.175744429951
fubini-study,D4,11,4,11.704699910720,0,11.156418929395,15.000000000000,0.344517456267,3.843581070605
fubini-study,D4,12,0,12.000000000000,0,11.010863715718,12.000000000000,0.089832760610,0.989136284282
fubini-study,D8,-12,0,12.000000000000,0,11.010863715718,12.000000000000,0.089832760610,0.989136284282
fubini-study,D8,-11,-4,11.704699910720,0,11.156418929395,12.299104000033,0.102424001633,1.142685070639
fubini-study,D8,-11,-3,11.401754250991,0,10.824255570049,11.974328000025,0.106249563541,1.150072429976
fubini-study,D8,-11,-2,11.180339887499,0,10.573607543376,11.649552000017,0.101757555520,1.075944456641
fubini-study,D8,-11,-1,11.045361017187,0,10.417858432065,11.324776000008,0.087054126705,0.906917567943
fubini-study,D8,-11,0,11.000000000000,0,10.365041771052,11.000000000000,0.061259591903,0.634958228948
fubini-study,D8,-11,1,11.045361017187,0,10.417858432065,11.324776000008,0.087054126705,0.906917567943
fubini-study,D8,-11,2,11.180339887499,0,10.573607543376,11.649552000017,0.101757555520,1.075944456641
fubini-study,D8,-11,3,11.401754250991,0,10.824255570049,11.974328000025,0.106249563541,1.150072429976
fubini-study,D8,-11,4,11.704699910720,0,11.156418929395,12.299104000033,0.102424001633,1.142685070639
fubini-study,D8,-10,-6,11.661903789691,0,11.229468579852,11.948656000050,0.064044653145,0.719187420198
fubini-study,D8,-10,-5,11.180339887499,0,10.794689277559,11.623880000042,0.076814691110,0.829190722482
fubini-study,D8,-10,-4,10.770329614269,0,10.395593606472,11.299104000033,0.086912823622,0.903510393561
fubini-study,D8,-10,-3,10.440306508911,0,10.058670877062,10.974328000025,0.091031621787,0.915657122963
fubini-study,D8,-10,-2,10.198039027186,0,9.803626816544,10.649552000017,0.086286962907,0.845925183473
fubini-study,D8,-10,-1,10.049875621121,0,9.644708608145,10.324776000008,0.070511968738,0.680067391863
fubini-study,D8,-10,0,10.000000000000,0,9.590733947523,10.000000000000,0.042673069102,0.409266052477
fubini-study,D8,-10,1,10.049875621121,0,9.644708608145,10.324776000008,0.070511968738,0.680067391863
fubini-study,D8,-10,2,10.198039027186,0,9.803626816544,10.649552000017,0.086286962907,0.845925183473
fubini-study,D8,-10,3,10.440306508911,0,10.058670877062,10.974328000025,0.091031621787,0.915657122963
fubini-study,D8,-10,4,10.770329614269,0,10.395593606472,11.299104000033,0.086912823622,0.903510393561
fubini-study,D8,-10,5,11.180339887499,0,10.794689277559,11.623880000042,0.076814691110,0.829190722482
fubini-study,D8,-10,6,11.661903789691,0,11.229468579852,11.948656000050,0.064044653145,0.719187420198
fubini-study,D8,-9,-7,11.401754250991,0,10.942241096983,11.273432000058,0.030267191167,0.331190903075
fubini-study,D8,-9,-6,10.816653826392,0,10.470404327166,10.948656000050,0.045676523842,0.478251672884
fubini-study,D8,-9,-5,10.295630140987,0,10.008208053985,10.623880000042,0.061516701365,0.615671946056
fubini-study,D8,-9,-4,9.848857801796,0,9.587086460976,10.299104000033,0.074268396551,0.712017539057
fubini-study,D8,-9,-3,9.486832980505,0,9.231859886772,9.974328000025,0.080424543089,0.742468113253
fubini-study,D8,-9,-2,9.219544457293,0,8.962516011600,9.649552000017,0.076656598161,0.687035988417
fubini-study,D8,-9,-1,9.055385138137,0,8.794345096840,9.324776000008,0.060314997573,0.530430903168
fubini-study,D8,-9,0,9.000000000000,0,8.737154327761,9.000000000000,0.030083670538,0.262845672239
fubini-study,D8,-9,1,9.055385138137,0,8.794345096840,9.324776000008,0.060314997573,0.530430903168
fubini-study,D8,-9,2,9.219544457293,0,8.962516011600,9.649552000017,0.076656598161,0.687035988417
fubini-study,D8,-9,3,9.486832980505,0,9.231859886772,9.974328000025,0.080424543089,0.742468113253
fubini-study,D8,-9,4,9.848857801796,0,9.587086460976,10.299104000033,0.074268396551,0.712017539057
fubini-study,D8,-9,5,10.295630140987,0,10.008208053985,10.623880000042,0.061516701365,0.615671946056
fubini-study,D8,-9,6,10.816653826392,0,10.470404327166,10.948656000050,0.045676523842,0.478251672884
fubini-study,D8,-9,7,11.401754250991,0,10.942241096983,11.273432000058,0.030267191167,0.331190903075
fubini-study,D8,-8,-8,11.313708498985,0,10.751340110320,10.598208000067,-0.014243071904,-0.153132110253
fubini-study,D8,-8,-7,10.630145812735,0,10.243423103118,10.273432000058,0.002929577021,0.030008896940
fubini-study,D8,-8,-6,10.000000000000,0,9.720311526578,9.948656000050,0.023491476878,0.228344473472
fubini-study,D8,-8,-5,9.433981132057,0,9.216191768851,9.623880000042,0.044236083777,0.407688231191
fubini-study,D8,-8,-4,8.944271909999,0,8.759095329553,9.299104000033,0.061651192294,0.540008670480
fubini-study,D8,-8,-3,8.544003745318,0,8.373296317452,8.974328000025,0.071779578769,0.601031682573
fubini-study,D8,-8,-2,8.246211251235,0,8.079949061421,8.649552000017,0.070495857618,0.569602938595
fubini-study,D8,-8,-1,8.062257748299,0,7.896240461286,8.324776000008,0.054270831901,0.428535538722
fubini-study,D8,-8,0,8.000000000000,0,7.833649757257,8.000000000000,0.021235343409,0.166350242743
fubini-study,D8,-8,1,8.062257748299,0,7.896240461286,8.324776000008,0.054270831901,0.428535538722
fubini-study,D8,-8,2,8.246211251235,0,8.079949061421,8.649552000017,0.070495857618,0.569602938595
fubini-study,D8,-8,3,8.544003745318,0,8.373296317452,8.974328000025,0.071779578769,0.601031682573
fubini-study,D8,-8,4,8.944271909999,0,8.759095329553,9.299104000033,0.061651192294,0.540008670480
fubini-study,D8,-8,5,9.433981132057,0,9.216191768851,9.623880000042,0.044236083777,0.407688231191
